station_name,type,lat,lng
Nibong,LRT,1.411865,103.900321
Sumang,LRT,1.408501,103.898605
Soo Teck,LRT,1.405436,103.897287
Aviation Park,1.3702162,104.0035167
Bahar Junction,1.3458098,103.7023562
Bayshore,1.3128187,103.9412368
Bedok South,1.3164110,103.9491056
Bright Hill,1.3630941,103.8369167
Bukit Batok West,1.3474841,103.7422490
Bukit Brown,1.3371278,103.8263414
Bukit Chagar,1.4644682,103.7673106
Canberra,1.4432026,103.8296327
Cantonment,1.2731062,103.8370558
Choa Chu Kang West,1.3792150,103.7399997
Corporation,1.3529781,103.7138109
Defu,1.3622038,103.8989547
Elias,1.3829209,103.9392818
Enterprise,1.3328021,103.7085422
Founders' Memorial,1.2908361,103.8691132
Gardens by the Bay,1.2811486,103.8649600
Gek Poh,1.3483472,103.6981166
Great World,1.2946725,103.8335564
Havelock,1.2885092,103.8335099
Hong Kah,1.3498945,103.7210695
Hume,1.3543385,103.7692171
Jurong Hill,1.3174352,103.7078559
Jurong Lake District,1.3276185,103.7388199
Jurong Pier,1.3130220,103.7104354
Jurong Town Hall,1.3286660,103.7419366
Jurong West,1.3416120,103.7049027
Katong Park,1.2978873,103.8864218
Keppel,1.2704303,103.8307191
Lentor,1.3848246,103.8366201
Loyang,1.3715383,103.9723697
Maju,1.3280672,103.7768039
Marina South,1.2808941,103.8656305
Marine Parade,1.3000669,103.8961640
Marine Terrace,1.3065946,103.9149507
Maxwell,1.2806013,103.8440380
Mayflower,1.3720748,103.8368247
Mount Pleasant,1.3285719,103.8351769
Nanyang Crescent,1.3542691,103.6887618
Nanyang Gateway,1.3537812,103.6866773
Napier,1.3066840,103.8189689
Orchard Boulevard,1.3030102,103.8235635
Pandan Reservoir,1.3118187,103.7411874
Pasir Ris East,1.3759050,103.9646973
Peng Kang Hill,1.3338446,103.6668506
Prince Edward Road,1.2732872,103.8473981
Punggol Coast,1.4149850,103.9103144
Serangoon North,1.3703489,103.8747511
Shenton Way,1.2786955,103.8493414
Siglap,1.3096600,103.9290869
Springleaf,1.3980615,103.8181048
Sungei Bedok,1.3203918,103.9571049
Sungei Kadut,1.4181190,103.7574674
Tampines North,1.3662447,103.9390257
Tanjong Katong,1.2996102,103.8973281
Tanjong Rhu,1.2973827,103.8735923
Tavistock,1.3700917,103.8627074
Tawas,1.3506589,103.6918893
Teck Ghee,1.3656117,103.8436063
Tengah,1.3638534,103.7287456
Tengah Park,1.3649206,103.7338295
Tengah Plantation,1.3537108,103.7342361
Toh Guan,1.3374867,103.7461061
Tukang,1.3256504,103.7092505
Turf City,1.3409220,103.7943025
Upper Thomson,1.3546386,103.8325124
West Coast,1.3106229,103.7579580
Woodlands North,1.4485234,103.7855858
Woodlands South,1.4268019,103.7944442
Xilin,1.3286407,103.9644167
